Parent,Channel,Coupon Type, Issuances ,  Redemptions , Redemption Rate,  Basket Net Sales  , Basket Margin  ,Margin per Issuance , Revenue per Issuance 
Sears,Sears Deal Center,PMD,839945,0,0.00%," $1,88,638 "," $59,450 ",$0.07 ,$0.22 
Other,Personal Shopper,Points,12242,0,0.00%," $2,588 ", $442 ,$0.04 ,$0.21 
Other,Personal Shopper,PMD,39571,0,0.00%, $-   , $-   ,$0.00 ,$0.00 
Sears,NPOS,Points,2188117,0,0.00%," $10,68,451 "," $3,59,426 ",$0.16 ,$0.49 
Sears,NPOS,PMD,9907895,0,0.00%," $50,51,666 "," $16,61,721 ",$0.17 ,$0.51 
Sears,NPOS,Liquidity,1308686,0,0.00%," $27,18,048 "," $7,17,293 ",$0.55 ,$2.08 
Kmart,KPOS,Points,5502725,0,0.00%," $41,76,175 "," $11,14,377 ",$0.20 ,$0.76 
Kmart,KPOS,PMD,12985278,0,0.00%," $28,89,672 "," $8,36,997 ",$0.06 ,$0.22 
Kmart,KPOS,Liquidity,197566,0,0.00%," $48,417 "," $12,701 ",$0.06 ,$0.25 
Kmart,Kmart Shopin,Points,12078,0,0.00%," $3,612 ", $456 ,$0.04 ,$0.30 
Kmart,Kmart Shopin,PMD,17063,0,0.00%," $3,223 ", $946 ,$0.06 ,$0.19 
Kmart,Kmart Order Confirmation,Points,39989,0,0.00%, $-   , $-   ,$0.00 ,$0.00 
Kmart,Kmart Order Confirmation,PMD,154991,0,0.00%, $776 , $166 ,$0.00 ,$0.01 
Kmart,Kmart Order Confirmation,Liquidity,2752,0,0.00%, $-   , $-   ,$0.00 ,$0.00 
Kmart,Kmart Mobile,Points,116624,0,0.00%," $1,55,621 "," $19,794 ",$0.17 ,$1.33 
Kmart,Kmart Mobile,PMD,187664,0,0.00%," $68,919 "," $4,545 ",$0.02 ,$0.37 
Kmart,Kmart Deal Center,Points,419624,0,0.00%," $1,14,693 "," $23,853 ",$0.06 ,$0.27 
Kmart,Kmart Deal Center,PMD,738320,0,0.00%," $95,201 "," $22,938 ",$0.03 ,$0.13 
